cell	duration_s	aggregate_events	aggregate_eps	per_node_eps
t0-c0-none	25.47	150000000	5889050	1963017
# t=24s sum=150000000
# TIMEOUT waiting for 150000000 events
# t=25s sum=150000000
t0-c1-none	188.43	0	0	0
t0-c1-ordered	84.80	30000000	353786	117929
t0-c1-unordered	80.48	30000000	372754	124251
t0-c1-perevent	84.12	30000000	356616	118872
t0-c2-ordered	163.09	30000000	183945	61315
t0-c2-unordered	84.66	30000000	354346	118115
t0-c2-perevent	313.94	89088	284	95
t1-3node	43.12	300000000	6957812	2319271
